@relation LibReaderClassificationProblem

@attribute userid string
@attribute username string
@attribute major string
@attribute college string
@attribute bookname string
@attribute author string
@attribute topic string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
20100100003,username,英语（高级翻译）,英语语言文化学院,口语一定要速成,邹海峰,英语,engchi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,口语技巧一学忘不了,张心,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,古希腊神话故事,余祖政,神话,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,周国平作品精选,周国平,散文,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,呼啸山庄,勃朗特,长篇小说,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,呼啸山庄,'勃朗特,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈佛校训,沙敏,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈利·波特与凤凰社,罗林,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈利·波特与死亡圣器,罗林,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈利·波特与阿兹卡班的囚徒,罗林,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈利·波特与魔法石,Rowling,哈利·波特与魔法石,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,哈姆莱特,莎士比亚,英语,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,商务英语,吴长镛,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,商务英语信函,曹菱,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,商务英语全能王,朱,商务,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,围城,'钱锺书,',长篇小说,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,国际经济与贸易,邓力平,null,chi,自然科学
20100100003,username,英语（高级翻译）,英语语言文化学院,在天堂边疯长,洪宇澄,null,chi,自然科学
