@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
广州美术学院教学素描典藏,王见,南宁广西美术出版社2009,素描,J224,J224/W164.0,chi,人文科学
Photoshop经典案例完美表现200例,杨格,北京清华大学出版社2008,'图形软件, Photoshop',TP391.41,TP391.41/Y163.0-1,chi,科学技术
神功利器,陶丽,北京清华大学出版社2008,'三维动画软件, 3ds max 9',TP391.41,TP391.41/T175.0-1,chi,科学技术
Photoshop影像合成艺术效果100例,新知互动,北京人民邮电出版社2008,'图形软件, Photoshop',TP391.41,TP391.41/X932-2,chi,科学技术
'ASP.NET 3.5 高级编程','埃维耶恩,',北京清华大学出版社2008,计算机网络,TP393.09,TP393.09/A482,chi,科学技术
爱的艺术,弗罗姆,上海上海译文出版社2008,爱情,B84-06,B84-06/F858-2,chi,人文科学
'Photoshop CS3中文版艺术沙龙',周建国,北京人民邮电出版社2008,'图形软件, Photoshop CS3',TP391.41,TP391.41/Z378.43-7,chi,科学技术
动画编剧创作,'张春景, 张强, 郭建芳, 武珉, 郝静, 刘正宏, 崔胜杰',北京国防工业出版社2012,动画片,J954,J954/C325.74,chi,人文科学
威尔.艾斯纳漫画教程,艾斯纳,上海上海人民美术出版社2011,动画片,J954.1,J954.1/A474-1,chi,人文科学
分镜头脚本设计,王海智,北京中国传媒大学出版社2012,'镜头 (电影艺术镜头)',J931,J931/W163.9,chi,人文科学
诗经别裁,扬之水,北京中华书局2007,诗经,I207.222,I207.222/Y169.7,chi,人文科学
黑桃皇后,'普希金,',武汉长江文艺出版社湖北人民出版社2006,短篇小说,I512.44,I512.44/P894-9,chi,人文科学
生活的故事,帕乌斯托夫斯基,哈尔滨北方文艺出版社2002,散文,I512.65,I512.65/P188,chi,人文科学
普希金中短篇小说集,'普希金,',南京译林出版社2002,'普希金,',I512.44,I512.44/P894/1,chi,人文科学
面向秋野,帕乌斯托夫斯基,长沙湖南文艺出版社2008,散文,I512.65,I512.65/P188-1,chi,人文科学
黑桃皇后,普希金,北京北京燕山出版社2000,中篇小说,I512.44,I512.44/P894/2,chi,人文科学
三毛作品集,三毛,广州广东旅游出版社1996,散文,I267-51,I267-51/S155.0-1,chi,人文科学
重复,基尔克郭尔,北京东方出版社2011,散文,I534.64,I534.64/J426,chi,人文科学
哀歌集,普罗佩提乌斯,上海华东师范大学出版社2006,古典诗歌,I546.22,I546.22/P858,chilat,人文科学
错误的喜剧,显凯微支,上海译文出版社2007,中篇小说,I513.44,I513.44/X415-12,chi,人文科学
完美罪行之友,'特拉别略,',北京人民文学出版社2005,长篇小说,I551.45,I551.45/T251-1,chi,人文科学
窗外的意大利,塞韦尔尼尼,北京中信出版社2010,散文,I546.65,I546.65/S148.1,chi,人文科学
寻找时间的人,汤普森,海口南海出版公司2008,长篇小说,I562.45,I562.45/T166,chi,人文科学
狄更斯鬼魅小说集,狄更斯,合肥安徽教育出版社2010,短篇小说,I561.44,I561.44/D432-44,chi,人文科学
凯尔特的薄暮,'叶芝,',南京江苏人民出版社2007,散文集,I562.65,I562.65/Y293,chi,人文科学
后来......,米索,北京人民文学出版社2008,长篇小说,I565.45,I565.45/M478-1,chi,人文科学
你去什么地方,显凯微支,长春时代文艺出版社2006,长篇小说,I513.44,I513.44/X415-10,chi,人文科学
瓦尔登湖,梭罗,南京译林出版社2009,散文,I712.64,I712.64/S875-11,chi,人文科学
康州美国佬在亚瑟王朝,马克·吐温,南京译林出版社2002,长篇小说,I712.44,I712.44/T882/1,chi,人文科学
爱伦·坡短篇小说集,坡,武汉长江文艺出版社湖北人民出版社2006,短篇小说,I712.44,I712.44/P7-1,chi,人文科学
爱伦·坡侦探小说精品集,坡,太原北岳文艺出版社2009,侦探小说,I712.44,I712.44/P7-4,chi,人文科学
'Patterns of problem solving /','Rubinstein, Moshe F.',null,null,null,O1/R814.5,null,自然科学
Ruby编程语言,弗拉纳根,北京电子工业出版社2009,计算机网络,TP393.09,TP393.09/F851,chi,科学技术
Perl语言入门,施瓦茨,南京东南大学出版社2009,PERL语言,TP312PE,TP312PE/S348-1,chi,科学技术
Perl高效编程,霍尔,北京人民邮电出版社2011,PERL语言,TP312PE,TP312PE/H872,chi,科学技术
'Python UNIX和Linux系统管理指南',吉夫特,北京机械工业出版社2009,软件工具,TP311.56,TP311.56/J428,chi,科学技术
Ruby完全自学手册,邓蔚,北京机械工业出版社2009,计算机网络,TP393.09,TP393.09/D268.0,chi,科学技术
Python核心编程,陈仲才,北京人民邮电出版社2008,面向对象语言,TP312PY,TP312PY/C325,chi,科学技术
算法设计,'克莱因伯格,',北京清华大学出版社2007,电子计算机,TP301.6,TP301.6/K251.1,chi,科学技术
C/C++程序员生存手册,张京,北京人民邮电出版社2010,C语言,TP312C,TP312C/Z316.401,chi,科学技术
C++数据结构原理与经典问题求解,左飞,北京电子工业出版社2008,语言,TP312,TP312/Z872.0,chi,科学技术
Linux设备驱动开发详解,宋宝华,北京人民邮电出版社2008,Linux操作系统,TP316.81,TP316.81/S761.3,chi,科学技术
征服Python,孙广磊,北京人民邮电出版社2007,PYTHON语言,TP312PY,TP312PY/S853.5,chi,科学技术
精通Linux设备驱动程序开发,文卡特斯瓦兰,北京人民邮电出版社2010,Linux操作系统,TP316.89,TP316.89/W254,chi,科学技术
Python高级编程,莱德,北京人民邮电出版社2010,程序语言,TP311PY,TP311PY/L142,chi,科学技术
'Linux Shell编程从入门到精通',张昊,北京人民邮电出版社2011,Linux操作系统,TP316.81,TP316.81/Z316.301,chi,科学技术
PHP5+MySQL网页系统开发设计,陈湘扬,北京电子工业出版社2007,PHP语言,TP312PH,TP312PH/C325.99,chi,科学技术
HTML+CSS网页布局开发指南,贾铮,北京清华大学出版社2008,'超文本标记语言, HTML',TP312HT,TP312HT/J419.0,chi,科学技术
XML入门经典,亨特,北京清华大学出版社2009,可扩展标记语言,TP312XM,TP312XM/H267,chi,科学技术
PHP+MySQL八大动态Web应用实战,培根,北京电子工业出版社2008,互联网络,TP312PH,TP312PH/P243,chi,科学技术
'深入理解 MySQL',贝尔,北京人民邮电出版社2010,关系数据库,TP311.132.3,TP311.132.3/B242,chi,科学技术
'PHP 5 in Practice中文版','怀特,',北京人民邮电出版社2007,PHP语言,TP312PH,TP312PH/H947,chi,科学技术
Linux实践及应用,罗文村,北京清华大学出版社2006,'网络操作系统, Linux',TP316.89,TP316.89/L878.1,chi,科学技术
Linux窗口程序设计,成洁,北京清华大学出版社2008,LINUX操作系统,TP316.89,TP316.89/C326.40,chi,科学技术
成熟,'卡内基,',哈尔滨哈尔滨出版社2002,人生观,B821,B821/K152/1,chi,人文科学
女人的职场华尔兹,金钟沅,北京中华工商联合出版社2010,女性心理学,B848.4,B848.4/J459.9,chi,人文科学
卡耐基成功学白金70年,'卡耐基,',北京中国城市出版社2007,成功心理,B848.4,B848.4/K151-11,chi,人文科学
中国大历史,'吕思勉,',长沙湖南文艺出版社2011,历史,K207,K207/L875-4,chi,人文科学
秦史稿,'林剑鸣,',北京中国人民大学出版社2009,古代史,K233.07,K233.07/L454.5,chi,人文科学
'PHP Web 2.0开发实战',泽瓦斯,北京人民邮电出版社2008,PHP语言,TP312PH,TP312PH/Z281,chi,科学技术
大秦帝国的野蛮成长,祝和军,杭州浙江大学出版社2009,古代史,K233.09,K233.09/Z383.4,chi,人文科学
互联网络的经济学分析,'张静敏,',北京中国金融出版社2010,网络经济,F062.5,F062.5/Z316.45,chi,社会科学
跨越大都市,拉谦,上海格致出版社上海人民出版社2010,城市规划,TU984.3,TU984.3/L164,chi,科学技术
寻找大秦帝国,王若冰,西安陕西人民出版社2010,中国历史,K233.09,K233.09/W166.1,chi,人文科学
Python源码剖析,陈儒,北京电子工业出版社2008,程序语言,TP312PY,TP312PY/C325.60,chi,科学技术
中国史稿地图集,郭沫若,北京地图出版社1979.12,null,K992.6,K992.6/G875.6/1,chi,人文科学
暗战亮剑,朱锡华,北京人民邮电出版社2010,计算机网络,TP393.08,TP393.08/Z389.3,chi,科学技术
'Linux C程序设计大全',吴岳,北京清华大学出版社2009,Linux操作系统,TP316.81,TP316.81/W890,chi,科学技术
'嵌入式Linux C语言开发入门与编程实践',商斌,北京电子工业出版社2008,LINUX操作系统,TP316.81,TP316.81/S316.10,chi,科学技术
C语言实例解析精粹,曹衍龙,北京人民邮电出版社2007,C语言,TP312C,TP312C/C179.5-1,chi,科学技术
Linux系统最佳实践工具,曹江华,北京电子工业出版社2009,Linux操作系统,TP316.89,TP316.89/C174.3,chi,科学技术
趣味C程序设计集锦,杨克昌,北京中国水利水电出版社2010,C语言,TP312C,TP312C/Y164.11,chi,科学技术
Linux内核分析及高级编程,吴国伟,北京电子工业出版社2008,LINUX操作系统,TP316.81,TP316.81/W838,chi,科学技术
C语言程序设计实例精粹,谭明金,北京电子工业出版社2007,C语言,TP312C,TP312C/T155.4,chi,科学技术
Linux程序设计,马修,北京人民邮电出版社2010,Linux操作系统,TP316.89,TP316.89/M194-1,chi,科学技术
鸟哥的Linux私房菜,鸟哥,北京人民邮电出版社2010,Linux操作系统,TP316.89,TP316.89/N417.30-2,chi,科学技术
'Linux 系统管理与网络管理',余柏山,北京清华大学出版社2010,'网络操作系统, Linux',TP316.89,TP316.89/Y817,chi,科学技术
琴剑书生,李斌,南京江苏文艺出版社2001,梁羽生,K825.6=76,K825.6=76/L410,chi,人文科学
'精通中文版Photoshop CS4数码照片处理',刘嘉,北京清华大学出版社2009,图形软件,TP391.41,TP391.41/L484.07,chi,科学技术
'Excel 2007数据分析职场应用实例','周贺来,',北京机械工业出版社2009,电子表格系统，Excel2007,TP391.13,TP391.13/Z378.35,chi,科学技术
现代速写技法,刘文海,长沙湖南人民出版社2006,速写,J214,J214/L488.3,chi,人文科学
季羡林谈翻译,'季羡林,',北京当代中国出版社2007,翻译,H059,H059/J495,chi,人文科学
科学翻译学,'黄忠廉,',北京中国对外翻译出版公司2007,科学技术,H059,H059/H969.5-3,chi,人文科学
'Photoshop CS4图像特效经典收录手册',瀚图文化,北京机械工业出版社2010,图形软件,TP391.41,TP391.41/H783,chi,科学技术
